gene	SRR17276325	SRR17276326	SRR17276331	SRR17276332	SRR17276333	SRR17276334	SRR17276335	SRR17276336	SRR17276337	SRR17276338	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000073578	13.09373	10.36652	12.11987	10.90795	16.77561	13.74923	10.3393	13.80227	11.8786	10.7115	103.39062	-0.02585	0.16741	-0.15444	0.87726	0.99999
ENSG00000135083	8.67017	12.00334	14.54385	13.63493	18.27586	21.45994	14.6927	22.71879	12.46088	16.22955	129.56927	0.15678	0.26545	0.59061	0.55478	0.99999
ENSG00000170606	280.63048	298.03755	303.92912	286.01279	224.76584	234.57293	292.5479	223.03497	249.21764	277.03839	2249.2576	-0.10381	0.15732	-0.65987	0.50934	0.99999
ENSG00000145734	250.37335	207.60327	248.36417	228.74607	236.08596	211.81239	188.82835	216.80562	223.13131	228.67433	1881.4452	-0.07209	0.10906	-0.66103	0.50859	0.99999
ENSG00000151422	177.11924	159.99911	160.16878	166.82743	152.07155	124.48623	126.03068	137.16773	159.1965	157.34547	1278.76521	-0.11243	0.14474	-0.77677	0.43729	0.99999
ENSG00000172901	1.41554	1.63682	0.55938	1.28329	1.77303	1.1148	1.30602	1.71002	1.6304	1.46066	11.6564	-0.1942	0.41381	-0.4693	0.63886	0.99999
ENSG00000131504	30.61102	37.64685	34.21533	26.14699	46.37159	43.66308	37.98334	43.8497	40.06115	36.35419	315.48914	0.12328	0.16242	0.759	0.44786	0.99999
ENSG00000217128	89.70974	60.83512	66.37961	60.95617	66.01133	65.30882	69.54543	65.71348	69.05891	60.45507	564.89191	-0.11567	0.11824	-0.97824	0.32795	0.99999
ENSG00000145741	186.32024	206.37566	223.56504	198.5888	184.94083	193.04655	193.18174	190.30037	180.62456	171.78977	1619.6908	0.0442	0.10196	0.43351	0.66465	0.99999
ENSG00000069020	15.92481	15.68619	15.75583	22.29713	21.13999	15.70013	16.10755	23.57379	41.34218	28.96974	183.42031	0.05413	0.34539	0.15671	0.87548	0.99999
ENSG00000113758	319.38084	402.9304	441.07015	442.73432	433.16524	558.05132	562.8935	604.24643	393.62413	470.98149	3890.20653	0.04737	0.20033	0.23646	0.81307	0.99999
ENSG00000253305	89.70974	129.17234	130.52171	70.58083	41.32527	30.47126	150.62734	153.77931	65.91457	55.99194	770.36383	0.27003	0.44944	0.60083	0.54795	0.99999
ENSG00000175471	38.92731	15.68619	9.22975	13.31411	15.8209	13.56342	6.42125	9.52723	10.2482	9.25084	117.64048	-0.52516	0.41696	-1.25949	0.20785	0.99999
ENSG00000153404	274.61444	115.39577	214.14883	261.14908	225.31139	137.95675	215.49287	178.81884	325.26396	187.85702	1800.80852	-0.28806	0.28374	-1.0152	0.31001	0.99999
ENSG00000155850	46.005	48.42258	56.31079	78.28056	25.91354	22.01734	63.55951	39.33037	74.76529	71.32886	448.95047	-0.30093	0.39021	-0.7712	0.44059	0.99999
ENSG00000197375	6.54686	9.13891	8.39068	7.53932	11.45651	7.98941	13.93085	7.08435	9.54946	11.11724	78.24354	-0.32386	0.25082	-1.29121	0.19663	0.99999
ENSG00000164404	10.79348	9.13891	5.03441	4.97274	3.00051	4.36631	4.46223	3.17574	5.24056	4.13853	45.46144	-0.03928	0.39645	-0.09909	0.92107	0.99999
ENSG00000188818	4.6005	1.90962	4.94118	5.61438	6.13742	3.90181	4.46223	3.90861	3.95953	5.03116	37.44345	-0.5014	0.27147	-1.84697	0.06475	0.99999
