gene	SRR17276325	SRR17276326	SRR17276331	SRR17276332	SRR17276333	SRR17276334	SRR17276335	SRR17276336	SRR17276337	SRR17276338	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000215788	11.67819	8.86611	16.31521	14.27658	19.63973	17.92973	19.48143	12.45869	15.48876	18.82628	130.55512	-0.29408	0.21077	-1.39525	0.16294	0.99924
ENSG00000117625	61.57592	30.28116	45.49614	35.29042	64.10191	51.83829	34.17412	54.84266	49.61061	36.43534	386.16662	-0.00323	0.21427	-0.01505	0.98799	0.99924
ENSG00000179902	3.53885	2.18243	1.39845	1.60411	1.22748	1.858	1.95903	3.42003	3.49371	3.65165	20.51148	0.04415	0.444	0.09943	0.92079	NA
ENSG00000143157	148.63153	116.48699	144.41295	146.13441	136.52343	149.84797	132.77844	175.3988	106.90738	132.10852	1164.56977	-0.06932	0.14537	-0.47687	0.63345	0.99924
ENSG00000160781	23.0025	36.96484	30.95229	21.33466	42.00721	39.29677	51.47885	54.96481	37.38265	28.48286	305.9628	0.26981	0.1753	1.53911	0.12378	0.99924
ENSG00000143344	152.17037	128.89953	123.80916	192.01195	180.30367	210.60468	136.04348	188.22392	183.07016	233.94894	1457.42494	-0.14882	0.17214	-0.86451	0.38731	0.99924
ENSG00000142856	27.24911	29.46275	23.30745	16.36192	20.32167	19.50904	17.41357	24.79523	17.46853	13.79512	174.78209	0.23961	0.18126	1.32188	0.18621	0.99924
ENSG00000116396	6.19298	2.86443	6.33963	11.38918	6.81935	5.01661	2.8297	5.37434	7.22032	8.27707	52.85417	-0.38636	0.32895	-1.17452	0.24019	NA
ENSG00000163875	58.21402	57.42508	58.45508	50.68987	53.60011	60.94251	56.15875	61.43844	46.58274	58.42637	471.45564	-0.00813	0.15072	-0.05395	0.95697	0.99924
ENSG00000131238	70.59998	74.20248	82.32191	86.1407	77.33145	69.48933	73.68115	63.51489	60.4411	58.99441	602.01116	-0.10904	0.13722	-0.79461	0.42684	0.99924
ENSG00000171680	35.03457	37.37405	51.55608	58.55001	61.64694	58.52711	65.73621	59.36199	69.75765	72.46493	481.66009	-0.12053	0.14316	-0.84195	0.39982	0.99924
ENSG00000116977	59.09873	44.33053	26.47726	13.95576	34.64231	32.97956	18.61075	28.70384	18.86601	16.1484	242.642	0.20303	0.20151	1.00757	0.31366	0.99924
ENSG00000229372	4.6005	5.72887	3.16981	2.40616	5.04632	2.87991	1.74136	2.56502	2.67851	1.8664	27.12174	0.14237	0.39311	0.36216	0.71723	NA
ENSG00000242485	33.79598	36.69204	42.41956	36.73412	33.00566	38.92517	37.11266	33.34532	34.70414	37.7337	306.63051	0.01354	0.1621	0.08351	0.93344	0.99924
ENSG00000272455	1.41554	1.50042	2.5172	1.76452	2.59135	3.15861	1.30602	2.68717	1.39748	2.10984	17.07631	0.2259	0.47679	0.47381	0.63564	NA
ENSG00000179403	9.201	16.7774	8.11099	12.19123	15.8209	19.04453	34.39179	23.32951	16.88624	9.73773	138.84796	0.10743	0.26923	0.399	0.68989	0.99924
ENSG00000135776	13.62456	11.04853	14.26416	10.90795	20.18528	19.13743	11.31882	18.56589	12.11151	12.17216	119.41064	0.10244	0.21813	0.46961	0.63864	0.99924
ENSG00000135763	19.46365	17.45941	23.68037	21.49507	27.14102	26.84815	19.91677	28.94813	25.50405	17.69021	190.88725	0.16926	0.18357	0.92207	0.35649	0.99924
ENSG00000169914	24.24109	15.27698	29.27415	19.73055	40.37056	35.85947	23.83482	34.6889	21.3116	17.93365	218.27093	0.06952	0.2014	0.34516	0.72997	0.99924
